Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100);;;;;;;;;
Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice);;;;;;;;;
Brasil;;;;;;;;;
Trimestre;Setores e subsetores;;;;;;;;
;Agropecuária - total;Indústria - total;Serviços - total;PIB a preços de mercado;Despesa de consumo das famílias;Despesa de consumo da administração pública;Formação bruta de capital fixo;Exportação de bens e serviços;Importação de bens e serviços (-)
2º trimestre 2021;266.28;134.64;176.62;171.38;174.79;148.58;161.99;352.36;253.98
3º trimestre 2021;208.28;140.27;183.12;175.46;182.35;150.53;170.39;321.56;257.85
4º trimestre 2021;161.57;131.08;187.08;173.96;189.17;155.14;168.35;302.38;260.87
1º trimestre 2022;288.89;128.55;179.87;173.05;179.69;145.18;159.3;304.87;241.79
2º trimestre 2022;263.83;136.1;184.98;177.45;184.36;151.3;165.23;337.97;253.88
3º trimestre 2022;226.66;143.97;192.22;183.04;191.02;154.52;179.03;347.67;286.04
4º trimestre 2022;155.54;137.12;193.78;178.65;197.86;155.54;173.78;338.56;270.25
1º trimestre 2023;355.17;130.51;185.73;180.35;186.79;146.02;161.6;326.61;246.23
2º trimestre 2023;319.08;137.49;190;183.61;190.01;154.72;162.29;378.13;256.92
3º trimestre 2023;246.54;145.36;195.67;186.63;197.26;155.71;166.92;382.4;268.48
4º trimestre 2023;155.5;141.09;197.43;182.31;202.38;160.21;166.17;363.35;267.81
1º trimestre 2024;344.55;134.21;191.36;184.78;195.01;149.79;165.96;347.9;271.37
2º trimestre 2024;309.96;142.85;196.71;189.73;199.28;159.59;171.48;395.17;295.04
Fonte: IBGE - Contas Nacionais Trimestrais;;;;;;;;;
