"receita","despesa"
27056.2815798163,35427.7504184688
28076.0499478974,51158.5524177808
27700.8456816894,35874.016873295
27882.9293742496,35611.6757376541
46339.0866085218,51814.4265221167
25141.7472908609,34946.7553878152
27565.8926078718,34949.6883615065
27720.1757029101,40065.5771346815
27882.2254851545,35401.6408482981
28368.2582602961,37136.7347043753
28527.5971549007,37367.2207810597
29152.6452875208,37519.0004692534
30283.435076491,36986.9271692071
29475.0734579697,53167.9979358616
30210.4966466114,37160.5503488425
30228.6151134171,36808.6683599679
50578.5449623469,60490.7832538803
28433.3289783166,41344.6386584223
30114.0310351691,35232.4435834011
30488.8917839492,37112.1238761457
31590.6259628166,38555.7304047685
31363.9276255183,38190.8263642265
31853.9879410716,38901.0083637641
32389.8387919101,37720.2716414302
32209.1282462168,42121.6770326872
32702.1592848021,50761.3892081913
32666.4255963546,37294.4662306528
32750.8160396359,42955.2220794591
55312.6678955889,51127.728679049
28842.0552240994,44034.5306002882
31395.801027181,37563.8202075251
33808.6776632049,41257.363374003
33363.2796519379,40702.2859427824
33940.2989135401,40397.4046931426
33027.3393872108,40968.2543861632
33471.8700383839,40719.1916494896
33685.6647444882,45830.0004088857
32883.5151737219,54289.649092054
34592.6457927497,41048.6582211273
38955.8076296414,46178.1760572795
59093.2045332782,55037.19777134
32260.8659509138,40760.1825917304
34584.0447705141,43182.7998776406
35933.6032694138,51151.4591692323
36735.7462720793,43511.0564225398
37142.1545177283,42942.5462232422
37138.9490298894,43362.2465465093
37726.8372100563,43473.1661207659
38800.3766960942,50924.9635439431
38173.9267689431,58659.1897589742
38854.3701054646,43660.6603574311
39316.7873770074,49024.0242872411
66549.8470094483,58973.8759702103
37009.8165084376,43544.0590938861
38135.7672818461,45248.2353119631
38353.1251199261,45026.545238759
39170.9704556563,51272.0419846675
40025.3662515175,45112.2770108426
41166.7143124505,45162.9074095813
41402.693412526,45771.8293782963
42700.8633056778,50898.2694065399
41110.0973335458,60530.5635893363
42440.0655919925,45186.7535830761
42297.4007103171,50972.6902964906
71033.8840309731,61031.8274768884
39895.7559040747,46013.9349985163
38105.1221691245,48528.8649779937
44939.8144094914,48508.3058930658
43738.0932050272,54419.9862074893
43692.0077484135,48844.1175049848
43279.0008502913,48795.4888114394
44392.7186693274,49534.3842388029
44708.714961269,54502.0554191815
42632.7099279175,64571.654383911
43893.7877234962,49421.7864029273
43819.8481920863,54310.8236092972
74731.0663982254,62017.9958493302
41060.1452276469,52903.5780130226
41777.02121367,48374.8508778498
42988.674044375,52532.9502394932
47678.0928904184,59342.2602592896
45833.627336685,51476.8280018971
45155.4235332226,51117.5590340802
46243.5501310191,52029.9912354065
46530.3688054172,57252.1002138347
46636.0916114627,68557.9839110551
47147.0580615962,52173.4506772958
47319.0717901604,56504.4560945846
76234.3142754947,66274.9549960098
44552.8494644081,52899.0652419023
45669.9259940301,50324.2410765735
44736.8894854175,52832.9896408874
47581.6836875868,53034.5529020327
47018.4618211351,53875.6693192007
47314.1773382204,55250.4281301825
47201.6384232126,55994.352352104
