selic,meta,hiato,ipca_12m,neutro_trend,selic_lag1,selic_lag2,selic_lag3,selic_lag4,desvio_ipca,hiato_lag1
12.0,4.5,0.99,7.310588409329899,4.515601095950847,12.25,11.75,10.75,10.75,2.810588409329899,1.31
11.0,4.5,0.75,6.503109040628852,4.472027422688622,12.0,12.25,11.75,10.75,2.0031090406288516,0.99
9.75,4.5,0.85,5.239992698978724,4.4316419004014636,11.0,12.0,12.25,11.75,0.7399926989787238,0.75
8.5,4.5,0.91,4.9157699762254925,4.396044417645545,9.75,11.0,12.0,12.25,0.4157699762254925,0.85
7.5,4.5,1.08,5.282388631203716,4.366902008950623,8.5,9.75,11.0,12.0,0.782388631203716,0.91
7.25,4.5,1.37,5.838568997639193,4.345589228469729,7.5,8.5,9.75,11.0,1.338568997639193,1.08
7.25,4.5,1.67,6.588668780120344,4.332967335866504,7.25,7.5,8.5,9.75,2.0886687801203436,1.37
8.0,4.5,1.96,6.695514044649253,4.32926586284891,7.25,7.25,7.5,8.5,2.1955140446492534,1.67
9.0,4.5,2.16,5.858560459371187,4.333783498400435,8.0,7.25,7.25,7.5,1.358560459371187,1.96
10.0,4.5,2.41,5.910818080013813,4.345095552126407,9.0,8.0,7.25,7.25,1.4108180800138133,2.16
10.75,4.5,2.32,6.153088277639696,4.361153535714632,10.0,9.0,8.0,7.25,1.6530882776396956,2.41
11.0,4.5,2.13,6.523613299155984,4.379628556029632,10.75,10.0,9.0,8.0,2.0236132991559836,2.32
11.0,4.5,1.83,6.746450876347709,4.398203929652081,11.0,10.75,10.0,9.0,2.2464508763477093,2.13
11.75,4.5,1.53,6.407616596391952,4.41470026371246,11.0,11.0,10.75,10.0,1.9076165963919518,1.83
12.75,4.5,0.96,8.128632014706017,4.427027278658091,11.75,11.0,11.0,10.75,3.6286320147060174,1.53
13.75,4.5,0.2,8.894448818054501,4.43310825207352,12.75,11.75,11.0,11.0,4.394448818054501,0.96
14.25,4.5,-1.04,9.493181381218152,4.431123367009856,13.75,12.75,11.75,11.0,4.993181381218152,0.2
14.25,4.5,-1.78,10.673497995621716,4.419700694267346,14.25,13.75,12.75,11.75,6.173497995621716,-1.04
14.25,4.5,-2.37,9.386927781269838,4.397988326226068,14.25,14.25,13.75,12.75,4.886927781269838,-1.78
14.25,4.5,-2.95,8.84445700995129,4.36575920341672,14.25,14.25,14.25,13.75,4.34445700995129,-2.37
14.25,4.5,-3.12,8.476385426191712,4.323452334685776,14.25,14.25,14.25,14.25,3.9763854261917118,-2.95
13.75,4.5,-3.34,6.288055054224495,4.27207761055549,14.25,14.25,14.25,14.25,1.788055054224495,-3.12
12.25,4.5,-3.24,4.571034884885772,4.213133373762959,13.75,14.25,14.25,14.25,0.07103488488577181,-3.34
10.25,4.5,-3.11,2.99836147163679,4.148313611956107,12.25,13.75,14.25,14.25,-1.5016385283632099,-3.24
8.25,4.5,-2.83,2.5377033135266513,4.079345098584548,10.25,12.25,13.75,14.25,-1.9622966864733487,-3.11
7.0,4.5,-2.34,2.9473499083459087,4.0079337991958255,8.25,10.25,12.25,13.75,-1.5526500916540913,-2.83
6.5,4.5,-1.96,2.680655045363367,3.9356411748840827,7.0,8.25,10.25,12.25,-1.819344954636633,-2.34
6.5,4.5,-1.98,4.3909560762924515,3.863927574272809,6.5,7.0,8.25,10.25,-0.10904392370754845,-1.96
6.5,4.5,-1.9,4.525564648017322,3.7941967663459826,6.5,6.5,7.0,8.25,0.025564648017321723,-1.98
6.5,4.5,-1.8,3.7454821218273704,3.727841411507508,6.5,6.5,6.5,7.0,-0.7545178781726296,-1.9
6.5,4.25,-1.71,4.575365272922949,3.6664150454516937,6.5,6.5,6.5,6.5,0.3253652729229488,-1.8
6.5,4.25,-1.81,3.366413898801879,3.611701543954513,6.5,6.5,6.5,6.5,-0.8835861011981212,-1.71
5.5,4.25,-1.83,2.893546675594849,3.5657006714016353,6.5,6.5,6.5,6.5,-1.3564533244051509,-1.81
