"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"75";202404;2;29;290720;"A";133410;1;622515;101;"Fundamental Completo";43;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"76";202404;2;26;261110;"A";133410;1;622515;102;"Médio Completo";40;"48";1;"Masculino";2;3;97;0;0;0;"1500";1;0
"77";202404;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";34;"44";3;"Feminino";0;1;97;0;0;0;"1450";6;0
"78";202404;2;29;291840;"A";132600;1;622505;101;"Médio Completo";31;"48";1;"Feminino";0;1;97;0;0;0;"1450";9;0
"79";202404;2;29;290720;"A";133410;1;621005;101;"6ª a 9ª Fundamental";34;"44";3;"Masculino";0;1;97;0;0;0;"1450";6;0
"80";202404;2;29;291840;"A";133410;1;621005;101;"Até 5ª Incompleto";28;"44";3;"Masculino";2;3;97;0;0;0;"1450";4;0
"81";202404;2;29;290720;"A";132600;1;621005;101;"Médio Incompleto";18;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"82";202404;2;26;260875;"A";132600;1;622515;101;"Médio Completo";35;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"83";202404;2;26;261110;"A";133410;1;621005;101;"Médio Incompleto";18;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"84";202404;2;29;290720;"A";132600;1;621005;101;"Médio Completo";21;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"85";202404;2;29;291840;"A";133410;1;622020;101;"Médio Completo";50;"44";3;"Feminino";0;1;97;0;0;0;"1456.83";1;0
"86";202404;2;26;261110;"A";132600;1;621005;101;"Médio Completo";24;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"87";202404;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";25;"44";3;"Feminino";0;1;97;0;0;0;"1450";7;0
"88";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";18;"44";3;"Feminino";2;3;97;0;0;0;"1450";1;0
"89";202404;2;26;261110;"A";133410;1;622020;101;"Médio Completo";35;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"90";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";23;"48";1;"Masculino";2;3;97;0;0;0;"1450";5;0
"91";202404;2;29;290720;"A";133410;1;621005;101;"Médio Incompleto";40;"44";3;"Feminino";2;3;97;0;0;0;"1450";5;0
"92";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";27;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"93";202404;2;29;291840;"A";132600;1;641015;101;"Médio Incompleto";21;"41.77";3;"Masculino";0;1;97;0;0;0;"1558.73";9;0
"94";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";47;"48";1;"Feminino";2;3;97;0;0;0;"1450";1;0
"95";202404;2;29;290720;"A";132600;1;622515;101;"6ª a 9ª Fundamental";19;"48";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"96";202404;2;26;261110;"A";132600;1;622505;101;"Até 5ª Incompleto";22;"44";3;"Feminino";2;3;97;0;0;0;"1450";1;0
"97";202404;2;29;293020;"A";133410;1;622020;101;"Médio Completo";42;"44";3;"Masculino";0;1;97;0;0;0;"1450";7;0
"98";202404;2;26;261110;"A";132600;1;641015;101;"Fundamental Completo";38;"48";1;"Masculino";2;3;97;0;0;0;"3000";1;0
"99";202404;2;26;261110;"A";132600;1;621005;101;"Médio Completo";27;"44";3;"Feminino";2;3;97;0;0;0;"1450";1;0
"100";202404;2;29;291840;"A";132600;1;622515;101;"Médio Completo";28;"44";3;"Feminino";0;1;97;0;0;0;"1450";10;0
"101";202404;2;26;261110;"A";132600;1;411010;101;"Médio Completo";30;"44";3;"Feminino";2;3;97;0;0;0;"2200";1;0
"102";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";38;"48";1;"Masculino";2;3;97;0;0;0;"1450";1;0
"103";202404;2;26;261110;"A";133410;1;621005;101;"Médio Completo";21;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"104";202404;2;26;261110;"A";132600;1;622515;101;"Até 5ª Incompleto";45;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"105";202404;2;26;261110;"A";132600;1;622020;101;"6ª a 9ª Fundamental";25;"44";3;"Masculino";0;1;97;0;0;0;"1450";10;0
"106";202404;2;29;291840;"A";132600;1;621005;101;"Fundamental Completo";28;"44";1;"Masculino";0;1;97;0;0;0;"1450";1;0
"107";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";36;"48";3;"Feminino";0;1;97;0;0;0;"1450";7;0
"108";202404;2;26;260875;"A";132600;1;715210;101;"Médio Incompleto";31;"44";3;"Masculino";0;1;97;0;0;0;"1692";8;0
"109";202404;2;29;290720;"A";132600;1;621005;101;"6ª a 9ª Fundamental";24;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"110";202404;2;29;290720;"A";132600;1;622515;101;"Médio Completo";19;"48";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"111";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";24;"44";3;"Masculino";2;3;97;0;0;0;"1450";4;0
"112";202404;2;29;293020;"A";133410;1;622020;101;"Médio Completo";28;"44";3;"Masculino";0;1;97;0;0;0;"1450";7;0
"113";202404;2;26;261110;"A";132600;1;641015;101;"Fundamental Completo";28;"44";3;"Masculino";0;1;97;0;0;0;"1667.5";10;0
"114";202404;2;29;290720;"A";133410;1;411010;101;"Médio Completo";33;"44";3;"Feminino";0;1;97;0;0;0;"2000";9;0
"115";202404;2;29;290720;"A";132600;1;622515;101;"Fundamental Completo";25;"44";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"116";202404;2;26;260875;"A";132600;1;622505;101;"Médio Incompleto";18;"44";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"117";202404;2;26;261110;"A";132600;1;411005;101;"Médio Completo";39;"44";3;"Feminino";2;3;97;0;0;0;"1837.92";5;0
"118";202404;2;29;291840;"A";132600;1;641015;101;"Fundamental Completo";23;"48";1;"Masculino";0;1;97;0;0;0;"1450";8;0
"119";202404;2;29;291840;"A";133410;1;622505;101;"Médio Completo";20;"44";1;"Masculino";0;1;97;0;0;0;"1450";5;0
"120";202404;2;29;290720;"A";132600;1;622515;101;"Médio Completo";20;"48";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"121";202404;2;29;291840;"A";132600;1;622505;101;"Médio Completo";38;"48";1;"Masculino";0;1;97;0;0;0;"1450";9;0
"122";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";18;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"123";202404;2;29;290720;"A";132600;1;622515;103;"Médio Incompleto";20;"20";3;"Feminino";0;1;97;0;0;0;"706";7;1
"124";202404;2;26;261110;"A";132600;1;622515;101;"Até 5ª Incompleto";28;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"125";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";19;"44";6;"Masculino";2;3;97;0;0;0;"1450";4;0
"126";202404;2;29;291840;"A";133410;1;621005;101;"Médio Completo";23;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"127";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";21;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"128";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";20;"44";3;"Masculino";2;3;97;0;0;0;"1450";5;0
"129";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";39;"44";3;"Feminino";0;1;97;0;0;0;"1450";6;0
"130";202404;2;26;261110;"A";132600;1;641015;101;"Fundamental Completo";36;"48";1;"Masculino";2;3;97;0;0;0;"1450";3;0
"131";202404;2;29;291840;"A";132600;1;621005;101;"6ª a 9ª Fundamental";23;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"132";202404;2;29;290720;"A";133410;1;622505;101;"Médio Incompleto";22;"48";2;"Masculino";0;1;97;0;0;0;"1450";7;0
"133";202404;2;26;261110;"A";132600;1;622020;101;"Superior Incompleto";26;"44";2;"Masculino";0;1;97;0;0;0;"1450";10;0
"134";202404;2;29;290990;"A";132600;1;621005;101;"Médio Completo";39;"44";6;"Feminino";2;3;97;0;0;0;"1450";4;0
"135";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";22;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"136";202404;2;26;261110;"A";132600;1;641015;101;"5ª Completo Fundamental";46;"44";1;"Masculino";2;3;97;0;0;0;"1558.74";1;0
"137";202404;2;29;291840;"A";132600;1;621005;101;"Médio Incompleto";21;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"138";202404;2;26;261110;"A";133410;1;784105;101;"Fundamental Completo";45;"44";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"139";202404;2;29;290720;"A";132600;1;622515;101;"Médio Incompleto";26;"44";3;"Feminino";0;1;97;0;0;0;"1450";8;0
