"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"65";202304;2;26;261110;"A";132600;1;413110;101;"Superior Completo";40;"44,00";6;"Feminino";0;1;97;0;0;0;"1953,00";7;0
"66";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";26;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";7;0
"67";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";19;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";2;0
"68";202304;2;29;290720;"A";132600;1;621005;101;"Médio Incompleto";23;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"69";202304;2;26;261110;"A";132600;1;622020;111;"Médio Completo";32;"44,00";3;"Feminino";0;1;97;0;1;0;"1302,40";7;0
"70";202304;2;26;261110;"A";132600;1;622515;101;"Até 5ª Incompleto";33;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"71";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";50;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";5;0
"72";202304;2;29;290720;"A";132600;1;622515;103;"6ª a 9ª Fundamental";18;"20,00";1;"Feminino";0;1;97;0;0;0;"651,00";8;1
"73";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";44;"48,00";1;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"74";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";47;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"75";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";38;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";6;0
"76";202304;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";26;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"77";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";21;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
